Date,ISIN,SECURITY_NAME,Maturity,RESIDUAL_NS,SIGNAL,Z_Residual_Score,Volatility_Score,MARKET_STRESS_SCORE,Cluster_Score,Regression_Score,COMPOSITE_SCORE,Z_SPRD_VAL,COMPOSITE_SCORE_1W_AGO,COMPOSITE_SCORE_1W_Change,COMPOSITE_SCORE_1W_Change_Pct,Z_Residual_Score_1W_AGO,Z_Residual_Score_1W_Change,Z_Residual_Score_1W_Change_Pct,Cluster_Score_1W_AGO,Cluster_Score_1W_Change,Cluster_Score_1W_Change_Pct,Regression_Score_1W_AGO,Regression_Score_1W_Change,Regression_Score_1W_Change_Pct,Z_SPRD_VAL_1W_AGO,Z_SPRD_VAL_1W_Change,Z_SPRD_VAL_1W_Change_Pct,COMPOSITE_SCORE_1M_AGO,COMPOSITE_SCORE_1M_Change,COMPOSITE_SCORE_1M_Change_Pct,Z_Residual_Score_1M_AGO,Z_Residual_Score_1M_Change,Z_Residual_Score_1M_Change_Pct,Cluster_Score_1M_AGO,Cluster_Score_1M_Change,Cluster_Score_1M_Change_Pct,Regression_Score_1M_AGO,Regression_Score_1M_Change,Regression_Score_1M_Change_Pct,Z_SPRD_VAL_1M_AGO,Z_SPRD_VAL_1M_Change,Z_SPRD_VAL_1M_Change_Pct,COMPOSITE_SCORE_3M_AGO,COMPOSITE_SCORE_3M_Change,COMPOSITE_SCORE_3M_Change_Pct,Z_Residual_Score_3M_AGO,Z_Residual_Score_3M_Change,Z_Residual_Score_3M_Change_Pct,Cluster_Score_3M_AGO,Cluster_Score_3M_Change,Cluster_Score_3M_Change_Pct,Regression_Score_3M_AGO,Regression_Score_3M_Change,Regression_Score_3M_Change_Pct,Z_SPRD_VAL_3M_AGO,Z_SPRD_VAL_3M_Change,Z_SPRD_VAL_3M_Change_Pct,COMPOSITE_SCORE_6M_AGO,COMPOSITE_SCORE_6M_Change,COMPOSITE_SCORE_6M_Change_Pct,Z_Residual_Score_6M_AGO,Z_Residual_Score_6M_Change,Z_Residual_Score_6M_Change_Pct,Cluster_Score_6M_AGO,Cluster_Score_6M_Change,Cluster_Score_6M_Change_Pct,Regression_Score_6M_AGO,Regression_Score_6M_Change,Regression_Score_6M_Change_Pct,Z_SPRD_VAL_6M_AGO,Z_SPRD_VAL_6M_Change,Z_SPRD_VAL_6M_Change_Pct,COMPOSITE_SCORE_1Y_AGO,COMPOSITE_SCORE_1Y_Change,COMPOSITE_SCORE_1Y_Change_Pct,Z_Residual_Score_1Y_AGO,Z_Residual_Score_1Y_Change,Z_Residual_Score_1Y_Change_Pct,Cluster_Score_1Y_AGO,Cluster_Score_1Y_Change,Cluster_Score_1Y_Change_Pct,Regression_Score_1Y_AGO,Regression_Score_1Y_Change,Regression_Score_1Y_Change_Pct,Z_SPRD_VAL_1Y_AGO,Z_SPRD_VAL_1Y_Change,Z_SPRD_VAL_1Y_Change_Pct,COMPOSITE_SCORE_Market_Percentile,COMPOSITE_SCORE_Market_Zscore,Z_Residual_Score_Market_Percentile,Z_Residual_Score_Market_Zscore,Cluster_Score_Market_Percentile,Cluster_Score_Market_Zscore,Regression_Score_Market_Percentile,Regression_Score_Market_Zscore,Z_SPRD_VAL_Market_Percentile,Z_SPRD_VAL_Market_Zscore,Issuer_Proxy,COMPOSITE_SCORE_Issuer_Percentile,COMPOSITE_SCORE_Issuer_Zscore,Z_Residual_Score_Issuer_Percentile,Z_Residual_Score_Issuer_Zscore,Cluster_Score_Issuer_Percentile,Cluster_Score_Issuer_Zscore,Regression_Score_Issuer_Percentile,Regression_Score_Issuer_Zscore,Z_SPRD_VAL_Issuer_Percentile,Z_SPRD_VAL_Issuer_Zscore,VOLATILITY_1M_AGO,Volatility_1M_Change,Volatility_Trend,Volatility_Market_Percentile,Volatility_Issuer_Percentile,COMPOSITE_Direction,Direction_1W_Ago,Direction_1M_Ago,Direction_Consistency_1W,Direction_Consistency_1M,COMPOSITE_SCORE_Relative_Strength,Z_Residual_Score_Relative_Strength,Cluster_Score_Relative_Strength,Regression_Score_Relative_Strength,COMPOSITE_Market_Category,COMPOSITE_Issuer_Category,Z_SPRD_VAL_Market_Category,Z_SPRD_VAL_Issuer_Category,Z_SPRD_VAL_Level_Category,YAS_RISK,Top_Features,Top_Feature_Effects_Pct,Top_Features_spgb,Top_Feature_Effects_Pct_spgb,Top_Features_frtr,Top_Feature_Effects_Pct_frtr,Top_Features_bunds,Top_Feature_Effects_Pct_bunds,Top_Features_rfgb,Top_Feature_Effects_Pct_rfgb,Top_Features_eu,Top_Feature_Effects_Pct_eu,Top_Features_ragb,Top_Feature_Effects_Pct_ragb,Top_Features_nether,Top_Feature_Effects_Pct_nether,Top_Features_bgb,Top_Feature_Effects_Pct_bgb,REL_SPRD
2025-09-16,AT0000383864,RAGB 6 1/4 07/15/27,2027-07-15,-2.8546524802136863,NO ACTION,-0.4061608298871213,0.9854781488985431,1.3766039368207976,0.8816880372436153,0.1842492494201313,-0.35362412677507277,-7.977959355687273,-0.2657728848195853,-0.08785124195548749,-33.05500435442207,-0.22624038573953698,-0.17992044414758435,-79.52622411194893,0.8816880372436153,0.0,0.0,0.1842492494201313,0.0,0.0,-6.411893045335763,-1.56606631035151,-24.424398486314146,0.6683704618503791,-1.0219945886254518,-152.90839910926445,0.4787485403221032,-0.8849093702092246,-184.83802606062315,0.8816880372436153,0.0,0.0,0.1842492494201313,0.0,0.0,-5.058,-2.919959355687273,-57.72952451392488,1.032615218581387,-1.3862393453564599,-134.2454872819263,1.2215574719274187,-1.62771830181454,-133.24942345294025,0.8816880372436153,0.0,0.0,0.1842492494201313,0.0,0.0,1.413,-9.390959355687272,-664.6114146656851,-0.20200649473801016,-0.1516176320370626,-75.0558167588223,-0.11913936165319726,-0.28702146823392405,-240.91235689022662,0.8816880372436153,0.0,0.0,0.047900461313443006,0.1363487881066883,284.65020148647835,2.973,-10.950959355687273,-368.3471012059389,-0.25031370783420903,-0.10331041894086374,-41.272376054631415,-0.15601476821869095,-0.25014606166843034,-160.3348506625395,0.8816880372436153,0.0,0.0,-0.11216414257109839,0.2964133919912297,264.2674911695515,-19.745,11.76704064431273,59.59503995114319,45.348837209302324,-0.3571622812198156,36.27906976744186,-0.40384713322916843,79.30232558139535,0.8865488115705639,59.30232558139535,0.22053692299512853,11.627906976744185,-1.0693632914770357,RAGB 6 1/4,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.9849763880961366,0.0005017608024064923,rising,7.209302325581396,100.0,-1.0,-1.0,1.0,1,0,0.41453331091388207,0.494836136928814,1.0311034668571988,0.23488727022623396,Below Median,Top Decile,Bottom Quartile,Top Decile,Very Tight,1.877196734362485,N/A,N/A,,,,,,,,,,,"['Issue_Age', 'Cpn', 'AMT_OUTSTANDING']",[46.99027509 36.50738068 16.50234422],,,,,0.0005027277636062
2025-09-16,AT0000A04967,RAGB 4.15 03/15/37,2037-03-15,2.724162658157887,WEAK BUY,0.9407599335506752,0.9933736961198912,1.3766039368207976,0.7699992724163675,0.9468962755226544,0.9891713255508306,45.35031685569289,1.047801903101479,-0.058630577550648266,-5.5955784025152795,1.0616411049781536,-0.12088117142747834,-11.386255649110371,0.7699992724163675,0.0,0.0,0.9468962755226544,0.0,0.0,45.057668908480345,0.2926479472125436,0.6494964214460602,-0.2435071592507903,1.232678484801621,506.2185596400548,-0.17938649778434862,1.1201464313350238,624.431817738277,0.7699992724163675,0.0,0.0,0.8857178667852916,0.0611784087373628,6.907211691312984,40.788,4.562316855692892,11.185438988365078,1.1551224006638074,-0.1659510751129768,-14.36653583905542,1.2488127741968127,-0.30805284064613747,-24.667655916436264,0.7699992724163675,0.0,0.0,1.0435226634400068,-0.09662638791735234,-9.259634733073915,60.552,-15.201683144307111,-25.105170996493253,0.8610493859269549,0.12812193962387575,14.879743279530116,0.7116780435879524,0.22908188996272283,32.18897769964911,0.7699992724163675,0.0,0.0,0.843951421733962,0.10294485378869245,12.19795949361499,53.193,-7.842683144307109,-14.743825583878944,-0.3939396684274602,1.3831109939782908,351.097152614693,-0.48603369587009904,1.4267936294207741,293.5585767383198,0.7699992724163675,0.0,0.0,0.09628869582340921,0.8506075796992452,883.3928885275867,27.927,17.42331685569289,62.38878808842342,81.3953488372093,1.0295491646095658,80.69767441860465,0.9354008911368682,70.93023255813954,0.7693186556489178,83.25581395348837,1.0115428439825616,62.558139534883715,0.13431159632998088,RAGB 4.15 03/15/37,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.9892665020835116,0.004107194036379602,rising,27.209302325581397,100.0,1.0,1.0,-1.0,1,0,1.1595488927215463,1.1461519108698888,0.9004873444218735,1.2071358881780225,Top Quartile,Top Decile,Above Median,Top Decile,Very Tight,10.04956376618864,N/A,N/A,,,,,,,,,,,"['AMT_OUTSTANDING', 'Cpn', 'Issue_Age']",[53.26451467 27.5221559  19.21332943],,,,,0.0005943482057541
2025-09-16,AT0000A0DXC2,RAGB 4.85 03/15/26,2026-03-15,-3.839355841978428,NO ACTION,-0.5404126397853505,0.9893125765064289,1.3766039368207976,0.9662825384653148,-0.3221178481045423,-0.47223310496509185,-18.329705268468068,-0.7063632847186275,0.23413017975353567,33.14585872511948,-0.9942616583641349,0.45384901857878446,45.6468385556395,0.9662825384653148,0.0,0.0,-0.396113930529323,0.07399608242478067,18.68050448461886,-20.119370772772218,1.7896655043041498,8.895235957560867,-0.9118577844944054,0.4396246795293135,48.21197802811684,-1.4153060983325445,0.874893458547194,61.81655356366388,0.9662825384653148,0.0,0.0,-0.396113930529323,0.07399608242478067,18.68050448461886,-17.613,-0.7167052684680684,-4.069183376262703,-0.8323949455162921,0.36016184055120026,43.26814310495313,-1.179749480615793,0.6393368408304426,54.19259308149634,0.9662825384653148,0.0,0.0,-0.6146537324942025,0.2925358843896602,47.593606638199134,-16.492,-1.837705268468067,-11.143010352618033,1.0503512804513568,-1.5225843854164487,-144.9595387046332,1.0870591864585728,-1.6274718262439234,-149.71326598826536,0.9662825384653148,0.0,0.0,0.5641828595881259,-0.8863007076926681,-157.09457969535657,-6.154,-12.175705268468068,-197.85026403449857,-0.29351343429568455,-0.1787196706694073,-60.88977324301562,-0.27961037110613574,-0.26080226867921474,-93.27345703241909,0.9662825384653148,0.0,0.0,0.2583616778278762,-0.5804795259324185,-224.67709156596825,-33.782,15.452294731531929,45.74120752755257,38.372093023255815,-0.479650354402765,31.627906976744185,-0.5373341771996444,83.25581395348837,0.9753404333928004,40.69767441860465,-0.3046593455620021,0.9302325581395349,-1.3030130076385753,RAGB 4.85 03/15/26,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.9915943118991729,-0.002281735392744011,falling,12.093023255813954,100.0,-1.0,-1.0,-1.0,1,1,0.5535718230244955,0.6583985538270756,1.1300337911921414,0.410646894196562,Below Median,Top Decile,Bottom Decile,Top Decile,Very Tight,0.4968001119600274,N/A,N/A,,,,,,,,,,,"['Issue_Age', 'Cpn', 'AMT_OUTSTANDING']",[47.05947152 27.97652745 24.96400103],,,,,0.0008778895141523
2025-09-16,AT0000A0U299,RAGB 3.8 01/26/62,2062-01-26,2.818535384492691,MODERATE BUY,0.8604677298330591,0.9907046218064214,1.3766039368207976,1.5855634235079394,1.6315071551585596,1.282205612723593,83.96268816694153,1.3755456351569617,-0.0933400224333687,-6.785672490186088,1.048280248925449,-0.18781251909238994,-17.916250687092898,1.5855634235079394,0.0,0.0,1.644234313256112,-0.012727158097552316,-0.7740477082578143,87.85349385594641,-3.8908056890048783,-4.428743260844888,1.4972681086568995,-0.2150624959333065,-14.36365960468222,1.2128040479963602,-0.35233631816330113,-29.05138021597538,1.5855634235079394,0.0,0.0,1.894061689742476,-0.2625545345839164,-13.86198425424126,88.616,-4.653311833058467,-5.251096678402724,1.3809198771991047,-0.09871426447551168,-7.148442526650266,1.055408717481917,-0.1949409876488578,-18.470662841112226,1.5855634235079394,0.0,0.0,1.6461037675438832,-0.014596612385323615,-0.886737068734689,105.493,-21.530311833058462,-20.40923267991008,1.483832604623128,-0.20162699189953504,-13.588257186997158,1.303525634794778,-0.4430579049617188,-33.989197430133586,1.5855634235079394,0.0,0.0,1.5356018841271089,0.09590527103145075,6.245451467482511,95.973,-12.010311833058466,-12.514261127407753,1.8438342376205865,-0.5616286248969935,-30.459821734071742,1.859088535004697,-0.998620805171638,-53.71561283914613,1.5855634235079394,0.0,0.0,2.080600114724129,-0.44909295956556927,-21.58477999827648,76.261,7.701688166941537,10.099117721943886,92.55813953488372,1.3321671093896612,78.13953488372093,0.8555660722523802,98.6046511627907,1.6253466790982825,97.67441860465115,1.7216108581881495,81.3953488372093,1.0058331418944335,RAGB 3.8 01/26/62,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.992438224421692,-0.0017336026152706685,falling,16.27906976744186,100.0,1.0,1.0,1.0,1,1,1.503056204795529,1.0483298635686544,1.8542612282821285,2.0799013468756726,Top Decile,Top Decile,Top Quartile,Top Decile,Tight,20.1233114336695,N/A,N/A,,,,,,,,,,,"['YAS_RISK', 'Cpn', 'Issue_Age']",[66.03345881 19.19848136 14.76805983],,,,,0.0026066675812869
2025-09-16,AT0000A0VRQ6,RAGB 3.15 06/20/44,2044-06-20,-1.7236960920325473,MODERATE SELL,-1.6903743470902315,0.9947298188965967,1.3766039368207976,-1.1474072344080872,-1.2397164568538643,-1.4952587205081114,60.56277868926439,-1.4070713527191112,-0.08818736778900016,-6.267441021511622,-1.4818890676969145,-0.20848527939331696,-14.068885622487711,-1.1474072344080872,0.0,0.0,-1.3229269543511062,0.08321049749724185,6.2898784089760005,60.61840038135201,-0.05562169208761958,-0.09175710960455288,-1.4575110816939119,-0.03774763881419951,-2.5898697463996245,-1.5854159835741077,-0.10495836351612375,-6.620241245296713,-1.1474072344080872,0.0,0.0,-1.3229269543511062,0.08321049749724185,6.2898784089760005,57.876,2.6867786892643934,4.642301971110933,-1.1243412199722733,-0.37091750053583805,-32.98976241803256,-0.9040246519260959,-0.7863496951641356,-86.98321276863791,-1.1474072344080872,0.0,0.0,-1.3229269543511062,0.08321049749724185,6.2898784089760005,77.432,-16.86922131073561,-21.78585250097767,-0.6746415264960989,-0.8206171940120125,-121.6375140899374,-0.05173170546845724,-1.6386426416217743,-3167.57839322169,-1.1474072344080872,0.0,0.0,-1.1163823391637857,-0.12333411769007863,-11.047659234532034,69.663,-9.100221310735606,-13.063206163141533,-1.1020532227398532,-0.3932054977682582,-35.67935614060096,-0.9477883857612653,-0.7425859613289661,-78.34934091301253,-1.1474072344080872,0.0,0.0,-1.0503796712658304,-0.1893367855880339,-18.025556754854676,43.539,17.02377868926439,39.10006818106613,4.651162790697675,-1.5361339223154165,3.0232558139534884,-1.6807451234188133,13.25581395348837,-1.2432191686154994,9.767441860465116,-1.2563786964127472,70.69767441860465,0.4776727471425998,RAGB 3.15 06/20/44,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.9944811480060718,0.00024867089052493796,rising,37.67441860465116,100.0,-1.0,-1.0,-1.0,1,1,1.7528061609872458,2.0594263413095786,1.3418528179126392,1.5804331106986143,Bottom Decile,Top Decile,Above Median,Top Decile,Tight,13.206028625214827,N/A,N/A,,,,,,,,,,,"['Issue_Age', 'YAS_RISK', 'AMT_OUTSTANDING']",[42.98690636 29.94873029 27.06436334],,,,,0.0006184713275644
2025-09-16,AT0000A10683,RAGB 2.4 05/23/34,2034-05-23,0.0239994636751141,MODERATE SELL,-1.3102509711514652,0.9980021090008455,1.3766039368207976,-1.1763025826520868,-1.410055564565097,-1.3457417265696925,31.84482976561112,-1.3058176785376159,-0.03992404803207661,-3.057398316972373,-1.229225585776323,-0.08102538537514214,-6.591579743665377,-1.1763025826520868,0.0,0.0,-1.410055564565097,0.0,0.0,31.98412489416522,-0.13929512855409953,-0.43551333347863286,-1.283614417281674,-0.06212730928801857,-4.840028903351168,-1.2027339201534544,-0.10751705099801079,-8.939387864803392,-1.1763025826520868,0.0,0.0,-1.3526139056092663,-0.05744165895583064,-4.246715067244953,29.803,2.0418297656111193,6.851088027802605,-1.5008301066266119,0.15508838005691938,10.333506660001511,-1.5946150282393698,0.2843640570879047,17.83277156359154,-1.1763025826520868,0.0,0.0,-1.512103047388642,0.10204748282354514,6.748712154565588,42.965,-11.120170234388883,-25.881927689516328,-1.490681310188869,0.14493958361917647,9.723042856726256,-1.578628341109873,0.2683773699584078,17.000668318779528,-1.1763025826520868,0.0,0.0,-1.497322107537009,0.08726654297191194,5.828174308642375,42.404,-10.559170234388883,-24.90135419276188,0.3755152362118009,-1.7212569627814933,-458.3720581642263,0.4274621586604074,-1.7377131298118726,-406.5185780668183,-1.1763025826520868,0.0,0.0,-0.6280335209513253,-0.7820220436137717,-124.51915464277673,18.321,13.523829765611119,73.81600217362325,6.511627906976744,-1.3817269897619349,9.30232558139535,-1.3027871216860325,12.093023255813954,-1.2735481474102217,7.674418604651163,-1.433051833740615,52.093023255813954,-0.17052135183240946,RAGB 2.4 05/23/34,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.9962982763521825,0.0017038326486630284,rising,84.41860465116278,100.0,-1.0,-1.0,-1.0,1,1,1.5775359521912078,1.5963123010951292,1.375644921799608,1.7975872546041376,Bottom Decile,Top Decile,Above Median,Top Decile,Very Tight,7.401644555179843,N/A,N/A,,,,,,,,,,,"['AMT_OUTSTANDING', 'Issue_Age', 'Cpn']",[50.56621485 26.23348749 23.20029766],,,,,0.0006135766840859
2025-09-16,AT0000A1FAP5,RAGB 1.2 10/20/25,2025-10-20,17.222120029683644,STRONG BUY,2.331052376675164,0.940999272999066,1.3766039368207976,1.422410714286798,1.3784515022534218,1.9067511704778195,-0.240317849206433,1.8556506152889902,0.05110055518882928,2.7537810454417366,2.2197906021032137,0.11126177457195041,5.012264398511524,1.422410714286798,0.0,0.0,1.3784515022534218,0.0,0.0,-3.8228844224382654,3.5825665732318326,93.71370326638004,-0.5180661524285306,2.42481732290635,468.0516696052048,-0.7538447027448374,3.0848970794200015,409.221823442593,1.422410714286798,0.0,0.0,0.1758265050948113,1.2026249971586105,683.9838670010132,-19.608,19.367682150793566,98.77438872356245,0.6933393693604954,1.213411801117324,175.00979134295235,0.1941916828315206,2.1368606938436434,1100.3872836607738,1.422410714286798,0.0,0.0,0.2978020750644299,1.080649427188992,362.875037276919,-17.631,17.390682150793566,98.6369584307746,1.0757080664681302,0.8310431040096893,77.2554489632774,0.9351378487159164,1.3959145279592478,149.27366216100438,1.422410714286798,0.0,0.0,0.4175252898176563,0.9609262124357656,230.14802045658692,-9.577,9.336682150793568,97.49067704964497,1.3377369046055512,0.5690142658722683,42.53558825055295,1.5825376947358183,0.7485146819393458,47.298379033837904,1.422410714286798,0.0,0.0,0.08486449523233631,1.2935870070210855,1524.296881811295,-29.857,29.616682150793565,99.19510379768248,99.53488372093024,1.977138368325294,98.83720930232558,2.3177735282570993,96.74418604651163,1.454099216825629,91.62790697674419,1.4591453755516306,23.488372093023255,-0.8947166418218433,RAGB 1.2 10/20/25,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.9527224878072457,-0.011723214808179616,falling,0.46511627906976744,100.0,1.0,1.0,-1.0,1,0,2.2351751929241024,2.839980786362984,1.663459814404511,1.7572973106949383,Top Decile,Top Decile,Bottom Quartile,Top Decile,Very Tight,0.08685232889718,N/A,N/A,,,,,,,,,,,"['Issue_Age', 'AMT_OUTSTANDING', 'YAS_RISK']",[75.68282777 17.10625811  7.21091412],,,,,0.0008505826491147
2025-09-16,AT0000A1K9C8,RAGB 0 3/4 10/20/26,2026-10-20,-2.0876055699246656,NO ACTION,-0.301583715619334,0.989627258550744,1.3766039368207976,-0.9114641241007216,0.11287923155420002,-0.5504938464487794,-12.263680526979424,-0.5709170206210503,0.020423174172270908,3.577257828524459,-0.3423733065983951,0.0407895909790611,11.913776279156535,-0.9114641241007216,0.0,0.0,0.11287923155420002,0.0,0.0,-12.034683032738066,-0.22899749424135862,-1.9028128404224125,-0.6100035554161686,0.05950970896738916,9.75563297352029,-0.42240245965169587,0.12081874403236187,28.602755124037614,-0.9114641241007216,0.0,0.0,0.11287923155420002,0.0,0.0,-11.624,-0.6396805269794239,-5.5031015694177015,0.3071036782203873,-0.8575975246691667,-279.25341100225654,0.24907409387321652,-0.5506578094925505,-221.08191936840043,-0.9114641241007216,0.0,0.0,0.11287923155420002,0.0,0.0,-7.501,-4.762680526979424,-63.493941082922674,-1.3531746583990942,0.8026808119503148,59.31834453418683,-1.883191426378485,1.581607710759151,83.98549824550491,-0.9114641241007216,0.0,0.0,-0.1933602450027705,0.3062394765569705,158.37767516006983,-4.031,-8.232680526979426,-204.23419763225024,-0.851790222037765,0.3012963755889856,35.37213321502697,-0.7929205007619048,0.4913367851425708,61.96545283845073,-0.9114641241007216,0.0,0.0,-0.3756813152455473,0.48856054679974736,130.04653517989524,-30.876,18.612319473020577,60.28086367078795,35.581395348837205,-0.5604706057571642,41.627906976744185,-0.2998657428765774,19.767441860465116,-0.9955698401199021,56.27906976744186,0.14651302362789836,5.5813953488372094,-1.1660964941325977,RAGB 0 3/4,100.0,1.0809974940236171,100.0,1.0135270527335352,66.66666666666666,-0.09241122711931461,100.0,0.8469641916948832,33.33333333333333,-0.6290892954578778,0.9927857053154695,-0.003158446764725542,falling,13.25581395348837,66.66666666666666,-1.0,-1.0,-1.0,1,1,0.6453124080848677,0.3674271614010242,1.0659255638925476,0.14390232062516112,Below Median,Top Decile,Bottom Decile,Below Median,Very Tight,1.052202856631368,N/A,N/A,,,,,,,,,,,"['Issue_Age', 'Cpn', 'YAS_RISK']",[48.34986078 31.81432103 19.83581819],,,,,0.0009121036149706
2025-09-16,AT0000A1K9F1,RAGB 1 1/2 02/20/47,2047-02-20,-1.9492140689035864,NO ACTION,-0.2374184198961945,0.994659077012312,1.3766039368207976,-0.4239199158478953,-0.4197598948874583,-0.4560442298916698,65.26636577905381,-0.5436521349342397,0.08760790504256988,16.114698683505964,-0.41673354170094024,0.17931512180474574,43.02872208701529,-0.4239199158478953,0.0,0.0,-0.4197598948874583,0.0,0.0,65.40740994329519,-0.14104416424137867,-0.2156394273096774,-0.501333129495308,0.04528889960363813,9.033693573345353,-0.32919701402798246,0.09177859413178796,27.879533359325443,-0.4239199158478953,0.0,0.0,-0.4197598948874583,0.0,0.0,64.71,0.5563657790538201,0.8597833085579383,-0.3421634126077773,-0.11388081728389254,-33.282580708351865,-0.003090670489266489,-0.23432774940692802,-7581.7526341113635,-0.4239199158478953,0.0,0.0,-0.4197598948874583,0.0,0.0,83.803,-18.536634220946183,-22.11929670624471,-0.7590157705441146,0.3029715406524448,39.916369121502846,-0.8551753766531238,0.6177569567569293,72.23745753191372,-0.4239199158478953,0.0,0.0,-0.426607259246258,0.006847364358799679,1.6050744683506684,70.363,-5.096634220946186,-7.243344115830553,-0.4619291186892374,0.0058848887975676,1.2739808840950266,-0.23820163451427892,0.0007832146180844213,0.3288031951590795,-0.4239199158478953,0.0,0.0,-0.4509670228695206,0.03120712798206232,6.92004641303604,51.634,13.632365779053814,26.40191690826514,39.30232558139535,-0.4629320237586367,44.883720930232556,-0.23606596499599417,39.06976744186046,-0.48383633101916684,36.97674418604651,-0.4059321945985047,72.09302325581395,0.5838376199795102,RAGB 1 1/2,50.0,-0.707106765411914,50.0,-0.707106739066819,50.0,-0.7071067537616177,50.0,-0.707106760611139,50.0,-0.707106780678624,0.9975684208645457,-0.0029093438522336257,falling,36.51162790697675,50.0,-1.0,-1.0,-1.0,1,1,0.5345945319517476,0.289252938964662,0.4957595843843826,0.5351243284348123,Below Median,Above Median,Above Median,Above Median,Tight,11.875428445757308,N/A,N/A,,,,,,,,,,,"['Issue_Age', 'YAS_RISK', 'Cpn']",[42.45966454 35.6611901  21.87914536],,,,,0.000908455121596
2025-09-16,AT0000A1PEF7,RAGB 1 1/2 11/02/2086,2086-11-02,2.700513171136336,NO ACTION,0.0,0.9952578083638955,1.3766039368207976,-0.05928818597678636,0.06625716988372482,0.17788490399272675,84.95438994015608,0.1777946662440522,9.023774867453205e-05,0.05075390927378839,0.0,0.0,0.0,-0.05928818597678636,0.0,0.0,0.06625716988372482,0.0,0.0,85.51265731529118,-0.5582673751351024,-0.6528476515604545,0.17464030270629619,0.0032446012864305596,1.8578764754545611,0.0,0.0,0.0,-0.05928818597678636,0.0,0.0,0.04741951736624251,0.01883765251748231,39.725517236792726,95.421,-10.46661005984393,-10.968874837558863,0.17423916203369066,0.0036457419590360807,2.0923779173670227,0.0,0.0,0.0,-0.05928818597678636,0.0,0.0,0.04741951736624251,0.01883765251748231,39.725517236792726,112.821,-27.86661005984392,-24.699843165167778,0.1732362783716066,0.004648625621120145,2.68340176577118,0.0,0.0,0.0,-0.05928818597678636,0.0,0.0,0.037061908578596106,0.029195261305128714,78.77428483151834,108.101,-23.146610059843923,-21.412022143830974,0.18169703125647918,-0.003812127263752435,-2.098067881232765,0.0,0.0,0.0,-0.05928818597678636,0.0,0.0,0.08749343748480991,-0.021236267601085088,-24.271837733645143,88.386,-3.431610059843919,-3.8825267117594042,52.79069767441861,0.19172970024371908,52.32558139534884,1.2322589414971086e-17,44.41860465116279,-0.10111355122223911,54.418604651162795,0.09815732883360756,81.86046511627907,1.0282168866057864,RAGB 1 1/2,100.0,0.7071067654119141,100.0,0.707106739066819,100.0,0.7071067537616177,100.0,0.707106760611139,100.0,0.707106780678625,0.9941613378961184,0.0010964704677771664,rising,44.651162790697676,100.0,1.0,1.0,1.0,1,1,0.20852428505424306,0.0,0.06933546960153161,0.08446691541964856,Above Median,Top Decile,Top Quartile,Top Decile,Tight,14.20353447088516,N/A,N/A,,,,,,,,,,,"['YAS_RISK', 'AMT_OUTSTANDING', 'Cpn']",[42.59476516 40.22147941 17.18375543],,,,,0.0100047543254026
